id,pilot_id,club_member,membership_fee_valid,factor,amount,date,description
1,1,"true",2025-06-30,1.0,100,2025-05-30,
2,2,"true",2025-06-30,0.8,80,2025-06-12,
3,3,"true",2025-06-30,1.0,100,2025-06-25,
4,4,"true",2025-06-30,1.2,120,2025-06-22,
5,5,"true",2025-06-30,1.0,100,2025-06-15,
6,6,"true",2025-06-30,1.2,120,2025-06-13,
7,7,"true",2025-06-30,1.0,100,2025-06-17,
8,8,"true",2025-06-30,1.0,100,2025-06-08,
9,1,"true",2025-09-25,1.0,100,2025-08-12,
10,2,"true",2025-09-25,0.8,80,2025-08-24,
11,3,"true",2025-09-25,1.0,100,2025-08-16,
12,4,"true",2025-09-25,1.2,120,2025-08-15,
13,5,"true",2025-09-25,1.0,100,2025-08-11,
14,6,"true",2025-09-25,1.2,120,2025-08-26,
15,7,"true",2025-09-25,1.0,100,2025-08-22,
16,8,"true",2025-09-25,1.0,100,2025-08-27,